 
 SAP2000 v16.0.0 File: SB3P  N, m, C Units  PAGE 1
 5/31/17 17:01:23
 
 MSc
 
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  SEN
 FUNCTION  Joint12:  Joint 12  Displacement  UX    
 
       TIME    FUNCTION
                Joint12
    0,00000     0,00000
    0,02500  -6,493E-05
    0,05000  -5,164E-04
    0,07500    -0,00169
    0,10000    -0,00366
    0,12500    -0,00613
    0,15000    -0,00861
    0,17500    -0,01069
    0,20000    -0,01200
    0,22500    -0,01231
    0,25000    -0,01172
    0,27500    -0,01066
    0,30000    -0,00960
    0,32500    -0,00890
    0,35000    -0,00879
    0,37500    -0,00933
    0,40000    -0,01020
    0,42500    -0,01090
    0,45000    -0,01101
    0,47500    -0,01028
    0,50000    -0,00863
    0,52500    -0,00620
    0,55000    -0,00347
    0,57500    -0,00101
    0,60000   8,493E-04
    0,62500     0,00196
    0,65000     0,00234
    0,67500     0,00229
    0,70000     0,00232
    0,72500     0,00289
    0,75000     0,00414
    0,77500     0,00602
    0,80000     0,00834
    0,82500     0,01063
    0,85000     0,01233
    0,87500     0,01311
    0,90000     0,01294
    0,92500     0,01199
    0,95000     0,01059
    0,97500     0,00922
    1,00000     0,00838
    1,02500     0,00819
    1,05000     0,00853
    1,07500     0,00911
    1,10000     0,00952
    1,12500     0,00929
    1,15000     0,00812
    1,17500     0,00607
    1,20000     0,00347
    1,22500   6,929E-04
    1,25000    -0,00179
    1,27500    -0,00352
    1,30000    -0,00438
    1,32500    -0,00457
    1,35000    -0,00448
    1,37500    -0,00448
    1,40000    -0,00496
    1,42500    -0,00619
    1,45000    -0,00806
    1,47500    -0,01016
    1,50000    -0,01205
    1,52500    -0,01333
    1,55000    -0,01367
    1,57500    -0,01299
    1,60000    -0,01156
    1,62500    -0,00988
    1,65000    -0,00836
    1,67500    -0,00733
    1,70000    -0,00698
    1,72500    -0,00722
    1,75000    -0,00761
    1,77500    -0,00767
    1,80000    -0,00706
    1,82500    -0,00562
    1,85000    -0,00334
    1,87500  -5,254E-04
    1,90000     0,00225
    1,92500     0,00452
    1,95000     0,00603
    1,97500     0,00670
    2,00000     0,00666
    2,02500     0,00634
    2,05000     0,00626
    2,07500     0,00675
    2,10000     0,00787
    2,12500     0,00953
    2,15000     0,01140
    2,17500     0,01295
    2,20000     0,01372
    2,22500     0,01350
    2,25000     0,01239
    2,27500     0,01061
    2,30000     0,00859
    2,32500     0,00687
    2,35000     0,00581
    2,37500     0,00540
    2,40000     0,00545
    2,42500     0,00564
    2,45000     0,00551
    2,47500     0,00463
    2,50000     0,00285
    2,52500   4,022E-04
    2,55000    -0,00238
    2,57500    -0,00506
    2,60000    -0,00716
    2,62500    -0,00835
    2,65000    -0,00864
    2,67500    -0,00836
    2,70000    -0,00791
    2,72500    -0,00765
    2,75000    -0,00799
    2,77500    -0,00904
    2,80000    -0,01053
    2,82500    -0,01204
    2,85000    -0,01313
    2,87500    -0,01346
    2,90000    -0,01277
    2,92500    -0,01114
    2,95000    -0,00900
    2,97500    -0,00682
    3,00000    -0,00500
    3,02500    -0,00383
    3,05000    -0,00338
    3,07500    -0,00343
    3,10000    -0,00346
    3,12500    -0,00306
    3,15000    -0,00198
    3,17500  -9,172E-05
    3,20000     0,00247
    3,22500     0,00525
    3,25000     0,00769
    3,27500     0,00942
    3,30000     0,01028
    3,32500     0,01026
    3,35000     0,00962
    3,37500     0,00890
    3,40000     0,00856
    3,42500     0,00879
    3,45000     0,00962
    3,47500     0,01085
    3,50000     0,01208
    3,52500     0,01276
    3,55000     0,01252
    3,57500     0,01135
    3,60000     0,00939
    3,62500     0,00695
    3,65000     0,00457
    3,67500     0,00272
    3,70000     0,00162
    3,72500     0,00118
    3,75000     0,00112
    3,77500     0,00110
    3,80000   6,158E-04
    3,82500  -6,635E-04
    3,85000    -0,00269
    3,87500    -0,00519
    3,90000    -0,00777
    3,92500    -0,00998
    3,95000    -0,01136
    3,97500    -0,01172
    4,00000    -0,01128
    4,02500    -0,01039
    4,05000    -0,00944
    4,07500    -0,00886
    4,10000    -0,00895
    4,12500    -0,00966
    4,15000    -0,01064
    4,17500    -0,01144
    4,20000    -0,01170
    4,22500    -0,01107
    4,25000    -0,00944
    4,27500    -0,00708
    4,30000    -0,00448
    4,32500    -0,00207
    4,35000  -2,240E-04
    4,37500   8,448E-04
    4,40000     0,00117
    4,42500     0,00114
    4,45000     0,00127
    4,47500     0,00187
    4,50000     0,00316
    4,52500     0,00518
    4,55000     0,00763
    4,57500     0,00999
    4,60000     0,01176
    4,62500     0,01268
    4,65000     0,01266
    4,67500     0,01180
    4,70000     0,01051
    4,72500     0,00934
    4,75000     0,00866
    4,77500     0,00859
    4,80000     0,00906
    4,82500     0,00980
    4,85000     0,01032
    4,87500     0,01013
    4,90000     0,00902
    4,92500     0,00708
