 
 SAP2000 v16.0.0 File: SB3P  N, m, C Units  PAGE 1
 5/23/17 16:53:55
 
 MSc
 
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  SEN
 FUNCTION  Joint10:  Joint 10  Displacement  UX    
 FUNCTION  Joint11:  Joint 11  Displacement  UX    
 FUNCTION  Joint12:  Joint 12  Displacement  UX    
 
       TIME    FUNCTION    FUNCTION    FUNCTION
                Joint10     Joint11     Joint12
    0,00000     0,00000     0,00000     0,00000
    0,02500  -5,974E-05  -6,472E-05  -6,493E-05
    0,05000  -3,856E-04  -4,979E-04  -5,164E-04
    0,07500    -0,00101    -0,00151    -0,00169
    0,10000    -0,00190    -0,00309    -0,00366
    0,12500    -0,00304    -0,00508    -0,00613
    0,15000    -0,00425    -0,00715    -0,00861
    0,17500    -0,00525    -0,00886    -0,01069
    0,20000    -0,00582    -0,00989    -0,01200
    0,22500    -0,00598    -0,01015    -0,01231
    0,25000    -0,00581    -0,00974    -0,01172
    0,27500    -0,00535    -0,00891    -0,01066
    0,30000    -0,00484    -0,00801    -0,00960
    0,32500    -0,00453    -0,00745    -0,00890
    0,35000    -0,00453    -0,00742    -0,00879
    0,37500    -0,00474    -0,00782    -0,00933
    0,40000    -0,00504    -0,00846    -0,01020
    0,42500    -0,00534    -0,00903    -0,01090
    0,45000    -0,00541    -0,00912    -0,01101
    0,47500    -0,00499    -0,00849    -0,01028
    0,50000    -0,00415    -0,00709    -0,00863
    0,52500    -0,00305    -0,00513    -0,00620
    0,55000    -0,00181    -0,00295    -0,00347
    0,57500  -6,044E-04  -8,912E-04    -0,00101
    0,60000   3,363E-04   6,639E-04   8,493E-04
    0,62500   8,523E-04     0,00155     0,00196
    0,65000     0,00106     0,00189     0,00234
    0,67500     0,00118     0,00193     0,00229
    0,70000     0,00128     0,00202     0,00232
    0,72500     0,00154     0,00246     0,00289
    0,75000     0,00215     0,00348     0,00414
    0,77500     0,00310     0,00508     0,00602
    0,80000     0,00419     0,00697     0,00834
    0,82500     0,00520     0,00878     0,01063
    0,85000     0,00599     0,01017     0,01233
    0,87500     0,00643     0,01086     0,01311
    0,90000     0,00636     0,01073     0,01294
    0,92500     0,00589     0,00993     0,01199
    0,95000     0,00529     0,00881     0,01059
    0,97500     0,00473     0,00777     0,00922
    1,00000     0,00431     0,00705     0,00838
    1,02500     0,00415     0,00685     0,00819
    1,05000     0,00430     0,00713     0,00853
    1,07500     0,00457     0,00760     0,00911
    1,10000     0,00465     0,00788     0,00952
    1,12500     0,00446     0,00763     0,00929
    1,15000     0,00393     0,00669     0,00812
    1,17500     0,00298     0,00504     0,00607
    1,20000     0,00170     0,00286     0,00347
    1,22500   3,635E-04   5,792E-04   6,929E-04
    1,25000  -7,569E-04    -0,00140    -0,00179
    1,27500    -0,00159    -0,00283    -0,00352
    1,30000    -0,00211    -0,00360    -0,00438
    1,32500    -0,00227    -0,00381    -0,00457
    1,35000    -0,00223    -0,00373    -0,00448
    1,37500    -0,00230    -0,00376    -0,00448
    1,40000    -0,00263    -0,00423    -0,00496
    1,42500    -0,00322    -0,00523    -0,00619
    1,45000    -0,00404    -0,00671    -0,00806
    1,47500    -0,00503    -0,00844    -0,01016
    1,50000    -0,00596    -0,01001    -0,01205
    1,52500    -0,00652    -0,01103    -0,01333
    1,55000    -0,00664    -0,01127    -0,01367
    1,57500    -0,00637    -0,01075    -0,01299
    1,60000    -0,00577    -0,00964    -0,01156
    1,62500    -0,00497    -0,00825    -0,00988
    1,65000    -0,00423    -0,00698    -0,00836
    1,67500    -0,00378    -0,00618    -0,00733
    1,70000    -0,00363    -0,00590    -0,00698
    1,72500    -0,00363    -0,00602    -0,00722
    1,75000    -0,00372    -0,00629    -0,00761
    1,77500    -0,00375    -0,00634    -0,00767
    1,80000    -0,00342    -0,00584    -0,00706
    1,82500    -0,00266    -0,00459    -0,00562
    1,85000    -0,00156    -0,00271    -0,00334
    1,87500  -2,894E-04  -4,650E-04  -5,254E-04
    1,90000     0,00101     0,00181     0,00225
    1,92500     0,00216     0,00371     0,00452
    1,95000     0,00290     0,00496     0,00603
    1,97500     0,00320     0,00549     0,00670
    2,00000     0,00327     0,00551     0,00666
    2,02500     0,00324     0,00534     0,00634
    2,05000     0,00324     0,00528     0,00626
    2,07500     0,00345     0,00566     0,00675
    2,10000     0,00402     0,00661     0,00787
    2,12500     0,00484     0,00799     0,00953
    2,15000     0,00565     0,00947     0,01140
    2,17500     0,00631     0,01070     0,01295
    2,20000     0,00671     0,01134     0,01372
    2,22500     0,00664     0,01120     0,01350
    2,25000     0,00608     0,01025     0,01239
    2,27500     0,00524     0,00879     0,01061
    2,30000     0,00436     0,00720     0,00859
    2,32500     0,00358     0,00581     0,00687
    2,35000     0,00300     0,00489     0,00581
    2,37500     0,00275     0,00452     0,00540
    2,40000     0,00278     0,00457     0,00545
    2,42500     0,00279     0,00470     0,00564
    2,45000     0,00261     0,00450     0,00551
    2,47500     0,00215     0,00376     0,00463
